id;type;label;S1;S2;S3
0;ORIENTATION;EMPTY;valid;train;test
1;ORIENTATION;EMPTY;train;train;test
2;ORIENTATION;ARROW_DOWN;test;valid;train
3;ORIENTATION;EMPTY;train;valid;test
4;ORIENTATION;EMPTY;train;train;train
5;ORIENTATION;EMPTY;train;train;test
6;ORIENTATION;EMPTY;train;train;test
7;ORIENTATION;EMPTY;train;train;test
8;ORIENTATION;EMPTY;train;train;test
9;ORIENTATION;EMPTY;train;train;train
10;ORIENTATION;EMPTY;train;valid;test
11;ORIENTATION;EMPTY;train;train;test
12;ORIENTATION;EMPTY;train;train;test
13;ORIENTATION;EMPTY;train;train;test
14;ORIENTATION;EMPTY;train;train;test
15;ORIENTATION;ARROW_LEFT;test;train;train
16;ORIENTATION;EMPTY;valid;train;test
17;ORIENTATION;EMPTY;train;train;train
18;ORIENTATION;EMPTY;train;train;test
19;ORIENTATION;EMPTY;valid;train;test
20;ORIENTATION;EMPTY;train;train;test
21;ORIENTATION;EMPTY;train;train;test
22;ORIENTATION;EMPTY;train;train;test
23;ORIENTATION;ARROW_LEFT;test;train;train
24;ORIENTATION;EMPTY;train;valid;test
25;ORIENTATION;ARROW_UP;test;valid;test
26;ORIENTATION;EMPTY;train;train;test
27;ORIENTATION;EMPTY;train;train;test
28;ORIENTATION;EMPTY;train;train;test
29;ORIENTATION;EMPTY;valid;train;test
30;ORIENTATION;EMPTY;train;train;test
31;ORIENTATION;EMPTY;train;train;test
32;ORIENTATION;ARROW_UP;test;train;train
33;ORIENTATION;EMPTY;train;train;test
34;ORIENTATION;EMPTY;train;train;train
35;ORIENTATION;EMPTY;valid;valid;test
36;ORIENTATION;ARROW_UP;test;train;train
37;ORIENTATION;EMPTY;valid;train;test
38;ORIENTATION;EMPTY;valid;train;test
39;ORIENTATION;EMPTY;train;valid;test
40;ORIENTATION;EMPTY;train;train;test
41;ORIENTATION;EMPTY;train;train;test
42;ORIENTATION;ARROW_UP;test;valid;valid
43;ORIENTATION;EMPTY;train;train;test
44;ORIENTATION;EMPTY;train;train;train
45;ORIENTATION;EMPTY;train;train;test
46;ORIENTATION;EMPTY;train;train;test
47;ORIENTATION;EMPTY;train;train;test
48;ORIENTATION;ARROW_DOWN;test;train;train
49;ORIENTATION;EMPTY;train;train;test
50;ORIENTATION;EMPTY;train;train;train
51;ORIENTATION;EMPTY;train;train;train
52;ORIENTATION;EMPTY;valid;train;test
53;ORIENTATION;EMPTY;valid;train;test
54;ORIENTATION;EMPTY;train;train;test
55;ORIENTATION;EMPTY;train;train;test
56;ORIENTATION;EMPTY;valid;train;test
57;ORIENTATION;EMPTY;train;valid;test
58;ORIENTATION;EMPTY;train;train;test
59;ORIENTATION;ARROW_LEFT;test;valid;test
60;ORIENTATION;EMPTY;valid;train;test
61;ORIENTATION;EMPTY;valid;train;test
62;ORIENTATION;EMPTY;train;train;test
63;ORIENTATION;EMPTY;train;train;test
64;ORIENTATION;EMPTY;train;train;test
65;ORIENTATION;EMPTY;train;train;test
66;ORIENTATION;ARROW_RIGHT;test;train;train
67;ORIENTATION;EMPTY;train;train;test
68;ORIENTATION;EMPTY;train;train;test
69;ORIENTATION;EMPTY;train;train;test
