;augmentation;split;task;performance;model
0;none;S1;^;95.78%;SM_NO_BOTTLENECK
1;none;S1;^;92.08%;LE_NET
2;none;S2;^;98.72%;SM_NO_BOTTLENECK
3;none;S2;^;95.45%;LE_NET
4;none;S3;^;99.67%;SM_NO_BOTTLENECK
5;none;S3;^;98.84%;LE_NET
6;ac;S1;^;97.90%;SM_NO_BOTTLENECK
7;ac;S1;^;87.88%;LE_NET
8;ac;S2;^;98.82%;SM_NO_BOTTLENECK
9;ac;S2;^;97.10%;LE_NET
10;ac;S3;^;99.79%;SM_NO_BOTTLENECK
11;ac;S3;^;98.95%;LE_NET
12;geo;S1;^;99.16%;SM_NO_BOTTLENECK
13;geo;S1;^;94.48%;LE_NET
14;geo;S2;^;99.38%;SM_NO_BOTTLENECK
15;geo;S2;^;97.66%;LE_NET
16;geo;S3;^;99.87%;SM_NO_BOTTLENECK
17;geo;S3;^;98.99%;LE_NET
18;geo_ac;S1;^;98.65%;SM_NO_BOTTLENECK
19;geo_ac;S1;^;98.28%;LE_NET
20;geo_ac;S2;^;99.15%;SM_NO_BOTTLENECK
21;geo_ac;S2;^;99.03%;LE_NET
22;geo_ac;S3;^;99.90%;SM_NO_BOTTLENECK
23;geo_ac;S3;^;99.70%;LE_NET
24;crop;S1;^;97.54%;SM_NO_BOTTLENECK
25;crop;S1;^;89.38%;LE_NET
26;crop;S2;^;98.30%;SM_NO_BOTTLENECK
27;crop;S2;^;94.55%;LE_NET
28;crop;S3;^;99.58%;SM_NO_BOTTLENECK
29;crop;S3;^;98.02%;LE_NET
30;crop_plus;S1;^;95.72%;SM_NO_BOTTLENECK
31;crop_plus;S1;^;92.49%;LE_NET
32;crop_plus;S2;^;98.84%;SM_NO_BOTTLENECK
33;crop_plus;S2;^;98.41%;LE_NET
34;crop_plus;S3;^;99.62%;SM_NO_BOTTLENECK
35;crop_plus;S3;^;99.16%;LE_NET
36;none;S1;1;91.02%;SM_NO_BOTTLENECK
37;none;S1;1;65.71%;LE_NET
38;none;S2;1;95.31%;SM_NO_BOTTLENECK
39;none;S2;1;81.32%;LE_NET
40;none;S3;1;97.71%;SM_NO_BOTTLENECK
41;none;S3;1;87.76%;LE_NET
42;ac;S1;1;92.17%;SM_NO_BOTTLENECK
43;ac;S1;1;67.36%;LE_NET
44;ac;S2;1;95.08%;SM_NO_BOTTLENECK
45;ac;S2;1;83.90%;LE_NET
46;ac;S3;1;98.26%;SM_NO_BOTTLENECK
47;ac;S3;1;89.32%;LE_NET
48;geo;S1;1;93.34%;SM_NO_BOTTLENECK
49;geo;S1;1;79.32%;LE_NET
50;geo;S2;1;96.59%;SM_NO_BOTTLENECK
51;geo;S2;1;87.96%;LE_NET
52;geo;S3;1;99.00%;SM_NO_BOTTLENECK
53;geo;S3;1;92.14%;LE_NET
